product_id,name,category,quantity,unit_price,supplier,reorder_level,last_updated
P001,Wireless Keyboard,Electronics,45,24.99,TechSupply Co.,10,2026-05-14
P002,USB-C Hub 7-Port,Electronics,28,49.99,TechSupply Co.,8,2024-11-03
P003,Mechanical Pencil Set,Stationery,130,9.0,OfficePro Ltd.,25,2026-05-14
P004,A4 Printer Paper (500 sheets),Stationery,200,6.75,OfficePro Ltd.,50,2024-10-30
P005,Ergonomic Office Chair,Furniture,12,189.99,ComfortSeating Inc.,3,2024-11-02
P006,Standing Desk Converter,Furniture,7,129.99,ComfortSeating Inc.,2,2024-10-25
P007,Whiteboard Markers (12-pack),Stationery,85,5.99,OfficePro Ltd.,20,2024-11-01
P008,Noise-Cancelling Headphones,Electronics,18,79.99,TechSupply Co.,5,2024-11-04
P009,Laptop Stand Adjustable,Electronics,33,35.0,TechSupply Co.,10,2024-10-29
P010,File Cabinet 4-Drawer,Furniture,5,219.99,ComfortSeating Inc.,2,2024-10-20
P011,Ballpoint Pens (Box of 50),Stationery,300,12.25,OfficePro Ltd.,60,2024-11-01
P012,Webcam 1080p,Electronics,22,65.0,TechSupply Co.,6,2024-11-03
P013,Sticky Notes (12 pads),Stationery,150,9.99,OfficePro Ltd.,30,2024-10-27
P014,Monitor 24-inch FHD,Electronics,9,249.99,TechSupply Co.,3,2026-05-14
P015,Desk Organizer Set,Furniture,40,22.5,ComfortSeating Inc.,10,2024-10-31
P016,Wireless Mouse,Electronics,55,24.99,TechSupply Co.,12,2024-11-02
P017,Stapler Heavy Duty,Stationery,60,14.75,OfficePro Ltd.,15,2024-10-26
P018,Bookshelf 5-Tier,Furniture,6,149.99,ComfortSeating Inc.,2,2024-10-22
P019,Extension Cord 6-outlet,Electronics,38,18.99,TechSupply Co.,10,2024-11-01
P020,Label Maker,Stationery,25,34.5,OfficePro Ltd.,8,2024-11-04
P021,RAM,Electronics,45,49.99,ASUS ROG,3,2026-05-14
